,AirtemperatureK,ProcesstemperatureK,Rotationalspeedrpm,TorqueNm,Toolwearmin,TWF,HDF,PWF,OSF,RNF
104,298.8,308.7,1450,43.4,66,0,0,0,0,0
105,298.8,308.7,1591,31.1,68,0,0,0,0,0
106,298.8,308.7,1445,48.5,70,0,0,0,0,0
107,298.8,308.8,1497,46.8,72,0,0,0,0,0
108,298.9,308.8,1621,32.7,75,0,0,0,0,0
109,298.9,308.7,1572,34.1,80,0,0,0,0,0
110,298.8,308.6,1872,22.5,82,0,0,0,0,0
111,298.7,308.6,1499,43.5,84,0,0,0,0,0
112,298.8,308.7,1498,39.5,89,0,0,0,0,0
113,298.8,308.6,1486,41.9,92,0,0,0,0,0
114,298.8,308.6,1680,29.4,95,0,0,0,0,0
115,298.8,308.6,1431,45.7,97,0,0,0,0,0
116,298.9,308.7,1564,34.1,99,0,0,0,0,0
117,298.8,308.6,1599,33.0,101,0,0,0,0,0
118,298.8,308.6,1707,28.1,103,0,0,0,0,0
119,298.7,308.5,1467,40.7,106,0,0,0,0,0
120,298.9,308.7,1433,44.7,108,0,0,0,0,0
121,298.9,308.7,1558,41.2,110,0,0,0,0,0
122,299.0,308.8,1310,50.7,112,0,0,0,0,0
123,298.9,308.7,1546,43.4,114,0,0,0,0,0
124,298.9,308.7,1727,29.4,116,0,0,0,0,0
125,298.9,308.6,1560,32.2,118,0,0,0,0,0
126,299.0,308.6,1329,60.5,120,0,0,0,0,0
127,298.9,308.6,1413,46.5,122,0,0,0,0,0
128,299.0,308.6,1587,38.6,124,0,0,0,0,0
129,298.9,308.5,1559,34.3,126,0,0,0,0,0
130,298.8,308.4,1473,41.1,128,0,0,0,0,0
131,298.8,308.4,1737,27.7,130,0,0,0,0,0
132,298.7,308.4,1441,43.2,132,0,0,0,0,0
133,298.7,308.4,1430,49.6,135,0,0,0,0,0
134,298.8,308.4,1369,53.0,138,0,0,0,0,0
135,298.8,308.5,1711,28.5,140,0,0,0,0,0
136,298.7,308.5,1420,45.7,143,0,0,0,0,0
137,298.7,308.6,1297,55.3,148,0,0,0,0,0
138,298.8,308.6,1449,49.4,150,0,0,0,0,0
139,298.8,308.6,1268,55.8,155,0,0,0,0,0
140,298.8,308.6,1511,36.1,157,0,0,0,0,0
141,298.7,308.5,1544,35.2,159,0,0,0,0,0
142,298.6,308.4,1778,28.2,161,0,0,0,0,0
143,298.6,308.4,1407,50.5,164,0,0,0,0,0
144,298.6,308.4,1391,42.4,169,0,0,0,0,0
145,298.5,308.4,1513,33.6,172,0,0,0,0,0
146,298.5,308.4,1612,36.1,174,0,0,0,0,0
147,298.4,308.4,1515,40.1,179,0,0,0,0,0
148,298.3,308.3,1379,48.0,181,0,0,0,0,0
149,298.4,308.3,1473,39.9,184,0,0,0,0,0
150,298.4,308.3,1422,42.7,186,0,0,0,0,0
151,298.4,308.2,1463,37.6,188,0,0,0,0,0
152,298.4,308.2,1584,41.0,191,0,0,0,0,0
153,298.4,308.2,1850,27.0,194,0,0,0,0,0
154,298.4,308.2,1528,36.2,196,0,0,0,0,0
155,298.4,308.2,1987,19.8,198,0,0,0,0,0
156,298.4,308.1,1495,46.0,203,0,0,0,0,0
157,298.4,308.2,1478,43.5,206,0,0,0,0,0
158,298.4,308.2,1499,40.0,211,0,0,0,0,0
159,298.4,308.2,1471,47.0,214,0,0,0,0,0
160,298.4,308.2,1282,60.7,216,0,0,0,1,0
161,298.3,308.1,1412,52.3,218,0,0,0,1,0
162,298.3,308.1,1586,35.5,0,0,0,0,0,0
163,298.4,308.2,1468,43.8,2,0,0,0,0,0
164,298.5,308.3,1440,43.6,5,0,0,0,0,0
165,298.5,308.4,1733,26.0,8,0,0,0,0,0
166,298.4,308.2,1612,32.6,10,0,0,0,0,0
167,298.4,308.3,1458,42.9,15,0,0,0,0,0
168,298.4,308.3,1433,62.3,20,0,0,1,0,0
169,298.4,308.3,1318,59.1,22,0,0,0,0,0
170,298.4,308.2,1610,35.0,24,0,0,0,0,0
171,298.2,308.1,1462,50.8,27,0,0,0,0,0
172,298.1,308.0,1924,20.8,29,0,0,0,0,0
173,298.2,308.0,1591,33.7,32,0,0,0,0,0
174,298.2,308.1,1306,58.3,35,0,0,0,0,0
175,298.2,308.1,1382,43.5,37,0,0,0,0,0
176,298.2,308.1,1618,34.7,39,0,0,0,0,0
177,298.2,308.2,1988,21.4,41,0,0,0,0,0
178,298.2,308.2,1436,50.2,43,0,0,0,0,0
179,298.2,308.3,1304,49.8,45,0,0,0,0,0
180,298.2,308.3,1475,49.9,47,0,0,0,0,0
181,298.2,308.3,1824,24.2,49,0,0,0,0,0
182,298.1,308.2,1342,48.1,54,0,0,0,0,0
183,298.1,308.2,1485,40.7,57,0,0,0,0,0
184,298.2,308.2,1667,30.6,59,0,0,0,0,0
185,298.2,308.2,1446,38.2,61,0,0,0,0,0
186,298.1,308.3,1301,56.0,63,0,0,0,0,0
187,298.2,308.4,1379,43.1,65,0,0,0,0,0
188,298.3,308.5,1606,33.6,67,0,0,0,0,0
189,298.3,308.4,1539,43.4,69,0,0,0,0,0
190,298.2,308.4,1477,49.9,72,0,0,0,0,0
191,298.2,308.4,1666,34.6,74,0,0,0,0,0
192,298.2,308.4,1398,51.8,76,0,0,0,0,0
193,298.2,308.4,1678,34.6,81,0,0,0,0,0
194,298.2,308.5,2678,10.7,86,0,0,1,0,0
195,298.3,308.5,1453,42.9,89,0,0,0,0,0
196,298.3,308.6,1432,49.5,91,0,0,0,0,0
197,298.4,308.6,1527,40.9,96,0,0,0,0,0
198,298.4,308.7,1588,35.0,99,0,0,0,0,0
199,298.4,308.6,1433,47.1,101,0,0,0,0,0
200,298.4,308.6,1609,35.0,103,0,0,0,0,0
201,298.3,308.5,1575,41.2,105,0,0,0,0,0
202,298.4,308.5,1636,35.7,107,0,0,0,0,0
203,298.4,308.5,1490,37.9,110,0,0,0,0,0
204,298.4,308.5,1741,32.8,112,0,0,0,0,0
205,298.5,308.6,1344,53.0,114,0,0,0,0,0
206,298.5,308.7,1609,35.3,117,0,0,0,0,0
207,298.4,308.7,1421,60.7,119,0,0,1,0,0
208,298.4,308.6,1591,36.7,122,0,0,0,0,0
209,298.4,308.6,1477,44.0,124,0,0,0,0,0
210,298.4,308.7,1523,36.1,126,0,0,0,0,0
211,298.5,308.7,1575,33.9,128,0,0,0,0,0
212,298.4,308.7,1344,52.9,130,0,0,0,0,0
213,298.4,308.7,1386,44.9,135,0,0,0,0,0
214,298.3,308.6,1589,37.1,137,0,0,0,0,0
215,298.3,308.6,1548,40.3,140,0,0,0,0,0
216,298.3,308.6,1499,38.3,142,0,0,0,0,0
217,298.3,308.5,1664,31.6,144,0,0,0,0,0
218,298.3,308.6,1447,38.1,146,0,0,0,0,0
219,298.3,308.5,1434,46.2,148,0,0,0,0,0
220,298.3,308.5,1416,52.7,151,0,0,0,0,0
221,298.4,308.5,1827,24.3,153,0,0,0,0,0
222,298.4,308.6,1304,45.0,158,0,0,0,0,0
223,298.4,308.6,1569,34.4,160,0,0,0,0,0
224,298.3,308.6,1584,29.3,162,0,0,0,0,0
225,298.3,308.5,1362,53.8,164,0,0,0,0,0
226,298.3,308.4,1329,49.2,166,0,0,0,0,0
227,298.3,308.5,1539,36.1,168,0,0,0,0,0
228,298.3,308.5,1629,37.1,170,0,0,0,0,0
229,298.3,308.5,1538,32.2,173,0,0,0,0,0
230,298.3,308.6,1570,34.8,175,0,0,0,0,0
231,298.3,308.4,1408,43.1,177,0,0,0,0,0
232,298.2,308.4,1424,47.6,179,0,0,0,0,0
233,298.2,308.4,1512,34.9,181,0,0,0,0,0
234,298.2,308.4,1478,42.9,183,0,0,0,0,0
235,298.1,308.3,1680,33.7,185,0,0,0,0,0
236,298.1,308.3,1495,38.7,188,0,0,0,0,0
237,298.0,308.1,1552,36.6,190,0,0,0,0,0
238,297.9,308.1,1393,50.3,193,0,0,0,0,0
239,298.0,308.2,1611,30.6,195,0,0,0,0,0
240,298.0,308.1,1339,51.6,197,0,0,0,0,0
241,298.0,308.1,1777,24.3,200,0,0,0,0,0
242,298.0,308.2,1348,58.8,202,0,0,0,1,0
243,298.0,308.2,1442,44.1,204,0,0,0,0,0
244,298.0,308.2,1395,49.1,206,0,0,0,0,0
245,297.9,308.1,1627,31.4,209,0,0,0,0,0
246,297.9,308.1,1585,33.5,212,0,0,0,0,0
247,298.0,308.2,1469,45.5,214,0,0,0,0,0
248,298.0,308.3,1362,56.8,216,0,0,0,1,0
249,298.0,308.3,1405,56.2,218,0,0,0,1,0
250,298.0,308.3,1662,32.7,0,0,0,0,0,0
251,298.0,308.2,1466,42.6,2,0,0,0,0,0
252,298.0,308.2,1620,35.8,5,0,0,0,0,0
253,298.0,308.2,1357,48.2,7,0,0,0,0,0
254,298.0,308.2,1514,37.9,9,0,0,0,0,0
255,298.0,308.2,1489,40.4,11,0,0,0,0,0
256,298.1,308.3,1331,63.0,13,0,0,0,0,0
257,298.0,308.0,1615,29.5,15,0,0,0,0,0
258,298.1,308.2,1482,37.9,17,0,0,0,0,0
259,298.1,308.2,1420,63.9,19,0,0,1,0,0
260,298.2,308.3,1522,49.1,22,0,0,0,0,0
261,298.1,308.2,1654,32.1,25,0,0,0,0,0
262,298.1,308.2,1736,26.8,27,0,0,0,0,0
263,298.0,308.1,1587,32.3,30,0,0,0,0,0
264,298.1,308.2,1390,47.5,33,0,0,0,0,0
265,298.0,308.1,1454,37.1,35,0,0,0,0,0
266,298.0,308.1,1440,43.7,37,0,0,0,0,0
267,297.9,308.0,1954,21.1,42,0,0,0,0,0
268,297.9,308.0,1800,24.8,44,0,0,0,0,0
269,298.0,308.0,1524,37.0,49,0,0,0,0,0
270,298.0,308.0,1520,39.6,51,0,0,0,0,0
271,298.1,308.1,1452,40.8,56,0,0,0,0,0
272,298.1,308.1,1484,40.4,59,0,0,0,0,0
273,298.1,308.0,1426,46.0,61,0,0,0,0,0
274,298.1,308.0,1652,28.5,63,0,0,0,0,0
275,298.0,308.0,1401,54.7,65,0,0,0,0,0
276,298.0,307.9,1750,26.6,67,0,0,0,0,0
277,298.0,308.0,1479,50.7,70,0,0,0,0,0
278,298.0,308.0,1620,29.4,75,0,0,0,0,0
279,298.0,308.1,1819,23.4,78,0,0,0,0,0
280,298.1,308.1,1456,43.7,80,0,0,0,0,0
281,298.1,308.0,1626,36.5,83,0,0,0,0,0
282,298.1,308.1,1390,49.8,85,0,0,0,0,0
283,298.2,308.2,1469,43.0,88,0,0,0,0,0
284,298.2,308.3,2051,19.2,90,0,0,0,0,0
285,298.2,308.3,1568,36.0,92,0,0,0,0,0
286,298.2,308.3,1589,33.2,94,0,0,0,0,0
287,298.2,308.3,1805,31.6,96,0,0,0,0,0
288,298.2,308.4,1385,42.2,98,0,0,0,0,0
289,298.1,308.4,1436,46.7,103,0,0,0,0,0
290,298.1,308.4,1438,45.6,105,0,0,0,0,0
291,298.0,308.3,1473,42.6,107,0,0,0,0,0
292,298.1,308.4,1335,40.2,109,0,0,0,0,0
293,298.1,308.5,1392,44.8,111,0,0,0,0,0
294,298.1,308.5,1372,51.1,116,0,0,0,0,0
295,298.1,308.6,1716,30.7,119,0,0,0,0,0
296,298.0,308.5,1395,46.2,122,0,0,0,0,0
297,298.0,308.5,1713,25.3,124,0,0,0,0,0
298,297.9,308.5,2129,18.7,126,0,0,0,0,0
299,297.8,308.3,1567,35.6,131,0,0,0,0,0
300,297.8,308.4,1622,38.3,134,0,0,0,0,0
301,297.7,308.4,1740,27.1,136,0,0,0,0,0
302,297.8,308.4,1512,35.1,138,0,0,0,0,0
303,297.8,308.4,1479,43.5,143,0,0,0,0,0
304,297.8,308.4,1737,27.5,146,0,0,0,0,0
305,297.8,308.4,2129,19.2,148,0,0,0,0,0
306,297.8,308.4,1374,47.1,150,0,0,0,0,0
307,297.8,308.4,1579,36.6,152,0,0,0,0,0
308,297.9,308.5,1305,47.2,155,0,0,0,0,0
309,297.9,308.5,1449,40.8,157,0,0,0,0,0
310,298.0,308.6,1526,41.8,160,0,0,0,0,0
311,298.0,308.6,1453,44.1,165,0,0,0,0,0
312,297.9,308.6,1468,36.0,168,0,0,0,0,0
313,298.0,308.6,1313,50.8,170,0,0,0,0,0
314,297.9,308.5,1300,53.0,172,0,0,0,0,0
315,297.9,308.4,1646,40.6,175,0,0,0,0,0
316,297.8,308.4,1714,33.2,177,0,0,0,0,0
317,297.8,308.4,1685,28.4,179,0,0,0,0,0
318,297.8,308.4,1512,39.9,181,0,0,0,0,0
319,297.8,308.4,1612,32.1,183,0,0,0,0,0
320,297.8,308.4,1550,38.2,185,0,0,0,0,0
321,297.8,308.4,1518,32.5,190,0,0,0,0,0
322,297.8,308.5,1448,40.0,192,0,0,0,0,0
323,297.8,308.5,1561,46.3,194,0,0,0,0,0
324,297.8,308.5,1488,41.9,196,0,0,0,0,0
325,297.8,308.5,1699,27.8,199,0,0,0,0,0
326,297.7,308.5,1501,41.4,201,0,0,0,0,0
327,297.7,308.5,1373,56.7,203,0,0,0,1,0
328,297.6,308.4,1703,31.4,205,0,0,0,0,0
329,297.7,308.5,1720,29.9,210,0,0,0,0,0
330,297.6,308.4,1398,41.9,215,0,0,0,0,0
331,297.6,308.4,1391,51.9,218,0,0,0,0,0
332,297.6,308.3,1538,40.2,0,0,0,0,0,0
333,297.5,308.2,1647,31.3,3,0,0,0,0,0
334,297.5,308.1,1469,44.8,5,0,0,0,0,0
335,297.4,308.1,1749,25.9,8,0,0,0,0,0
336,297.6,308.2,1995,20.5,10,0,0,0,0,0
337,297.6,308.3,1742,27.7,13,0,0,0,0,0
338,297.5,308.2,1563,38.2,15,0,0,0,0,0
339,297.5,308.2,1713,32.2,17,0,0,0,0,0
340,297.4,308.1,1474,39.4,20,0,0,0,0,0
341,297.4,308.2,1530,32.6,22,0,0,0,0,0
342,297.4,308.2,1471,46.5,25,0,0,0,0,0
343,297.5,308.3,1388,48.6,27,0,0,0,0,0
344,297.5,308.2,2448,13.8,29,0,0,0,0,0
345,297.5,308.3,1585,32.9,32,0,0,0,0,0
346,297.5,308.3,1459,45.2,34,0,0,0,0,0
347,297.5,308.3,1544,40.8,37,0,0,0,0,0
348,297.6,308.3,1617,31.7,39,0,0,0,0,0
349,297.6,308.3,1595,34.3,41,0,0,0,0,0
350,297.6,308.3,1400,44.3,43,0,0,0,0,0
351,297.6,308.4,1611,31.0,48,0,0,0,0,0
352,297.6,308.4,1507,46.0,51,0,0,0,0,0
353,297.5,308.3,1674,30.0,54,0,0,0,0,0
354,297.6,308.3,1658,34.3,59,0,0,0,0,0
355,297.6,308.3,1623,36.9,61,0,0,0,0,0
356,297.6,308.4,1398,48.9,63,0,0,0,0,0
357,297.6,308.4,1517,34.2,66,0,0,0,0,0
358,297.6,308.3,1467,36.7,68,0,0,0,0,0
359,297.6,308.3,1567,34.6,71,0,0,0,0,0
360,297.5,308.3,1521,38.2,74,0,0,0,0,0
361,297.5,308.3,1596,36.8,77,0,0,0,0,0
362,297.6,308.3,1640,30.9,79,0,0,0,0,0
363,297.6,308.3,1438,47.8,84,0,0,0,0,0
364,297.6,308.4,1407,55.2,86,0,0,0,0,0
365,297.6,308.4,1353,57.5,88,0,0,0,0,0
366,297.6,308.5,1552,40.9,90,0,0,0,0,0
367,297.6,308.4,1569,38.3,93,0,0,0,0,0
368,297.5,308.4,1489,39.5,96,0,0,0,0,0
369,297.5,308.4,1587,36.1,98,0,0,0,0,0
370,297.5,308.3,1622,37.2,103,0,0,0,0,0
371,297.5,308.4,1604,38.1,106,0,0,0,0,0
372,297.4,308.3,1405,51.7,108,0,0,0,0,0
373,297.4,308.3,1412,42.0,111,0,0,0,0,0
374,297.4,308.3,1431,43.0,113,0,0,0,0,0
375,297.4,308.2,1533,37.4,115,0,0,0,0,0
376,297.4,308.2,1401,51.9,117,0,0,0,0,0
377,297.4,308.2,1424,53.9,120,0,0,0,0,0
378,297.3,308.2,1754,29.4,123,0,0,0,0,0
379,297.3,308.2,1754,26.8,125,0,0,0,0,0
380,297.5,308.3,2564,12.8,127,0,0,1,0,0
381,297.5,308.5,1546,40.4,129,0,0,0,0,0
382,297.5,308.5,1335,48.0,131,0,0,0,0,0
383,297.5,308.6,1842,27.0,133,0,0,0,0,0
384,297.5,308.5,1712,26.8,136,0,0,0,0,0
385,297.6,308.6,1414,45.4,138,0,0,0,0,0
386,297.6,308.7,1319,50.9,141,0,0,0,0,0
387,297.7,308.7,1249,60.4,143,0,0,0,0,0
388,297.6,308.7,1455,48.2,145,0,0,0,0,0
389,297.6,308.7,1408,54.8,147,0,0,0,0,0
390,297.6,308.7,1460,46.7,150,0,0,0,0,0
391,297.6,308.6,1491,38.1,152,0,0,0,0,0
392,297.6,308.5,1490,43.4,154,0,0,0,0,0
393,297.5,308.4,1350,52.2,157,0,0,0,0,0
394,297.5,308.4,1528,39.9,160,0,0,0,0,0
395,297.4,308.3,1571,37.7,162,0,0,0,0,0
396,297.4,308.3,1490,42.6,164,0,0,0,0,0
397,297.4,308.3,1774,28.9,166,0,0,0,0,0
398,297.4,308.3,1502,43.6,169,0,0,0,0,0
399,297.4,308.4,1392,49.7,174,0,0,0,0,0
400,297.4,308.5,2100,16.9,176,0,0,0,0,0
401,297.5,308.5,1722,30.4,178,0,0,0,0,0
402,297.4,308.6,1678,32.3,180,0,0,0,0,0
403,297.3,308.6,1273,59.8,182,0,0,0,0,0
404,297.3,308.6,1297,45.9,184,0,0,0,0,0
405,297.3,308.5,1350,57.6,186,0,0,0,0,0
406,297.4,308.6,1439,51.9,188,0,0,0,0,0
407,297.4,308.5,1600,42.1,190,0,0,0,0,0
408,297.4,308.6,1434,44.4,193,0,0,0,0,0
409,297.4,308.6,1459,41.3,196,0,0,0,0,0
410,297.5,308.6,1472,44.9,198,0,0,0,0,0
411,297.5,308.7,1429,44.3,201,0,0,0,0,0
412,297.5,308.6,1388,48.2,203,0,0,0,0,0
413,297.4,308.4,1573,34.5,205,0,0,0,0,0
414,297.4,308.4,1588,32.5,207,0,0,0,0,0
415,297.5,308.4,1511,42.8,209,0,0,0,0,0
416,297.4,308.5,1495,37.8,211,0,0,0,0,0
417,297.4,308.4,1394,50.1,213,0,0,0,0,0
418,297.4,308.4,2151,17.7,0,0,0,0,0,0
419,297.3,308.3,1501,38.2,2,0,0,0,0,0
420,297.3,308.3,1301,39.6,5,0,0,0,0,0
421,297.3,308.3,1657,31.1,8,0,0,0,0,0
422,297.3,308.3,1333,55.2,11,0,0,0,0,0
423,297.3,308.3,1484,43.9,13,0,0,0,0,0
424,297.3,308.4,1430,45.7,15,0,0,0,0,0
425,297.3,308.4,1665,28.9,17,0,0,0,0,0
426,297.4,308.5,1501,44.9,20,0,0,0,0,0
427,297.5,308.5,1496,42.2,22,0,0,0,0,0
428,297.6,308.6,1595,36.9,25,0,0,0,0,0
429,297.5,308.6,1208,62.3,28,0,0,0,0,0
430,297.5,308.6,1596,37.1,30,0,0,0,0,0
431,297.5,308.5,1446,41.9,32,0,0,0,0,0
432,297.6,308.5,1466,39.7,34,0,0,0,0,0
433,297.6,308.5,1848,23.7,37,0,0,0,0,0
434,297.5,308.5,1484,44.7,40,0,0,0,0,0
435,297.4,308.3,1493,41.2,43,0,0,0,0,0
436,297.3,308.3,1504,36.3,45,0,0,0,0,0
437,297.3,308.3,1538,38.5,47,0,0,0,0,0
438,297.4,308.4,1341,52.2,49,0,0,0,0,0
439,297.4,308.3,1535,34.6,51,0,0,0,0,0
440,297.4,308.5,1389,39.2,54,0,0,0,0,0
441,297.5,308.5,1393,46.6,56,0,0,0,0,0
442,297.4,308.5,1399,61.5,61,0,0,1,0,0
443,297.4,308.5,1469,45.1,63,0,0,0,0,0
444,297.4,308.4,1582,37.2,68,0,0,0,0,0
445,297.5,308.6,1793,26.7,70,0,0,0,0,0
446,297.5,308.6,1452,39.0,72,0,0,0,0,0
447,297.6,308.7,1376,59.9,74,0,0,0,0,0
448,297.5,308.6,1552,44.9,77,0,0,0,0,0
449,297.6,308.7,1622,37.9,79,0,0,0,0,0
450,297.6,308.7,1419,41.7,81,0,0,0,0,0
451,297.5,308.6,1440,46.1,84,0,0,0,0,0
452,297.4,308.6,1643,31.0,89,0,0,0,0,0
453,297.4,308.7,1510,36.2,92,0,0,0,0,0
454,297.4,308.7,1468,46.6,94,0,0,0,0,0
455,297.4,308.7,1429,57.4,96,0,0,0,0,0
456,297.3,308.7,1478,47.6,98,0,0,0,0,0
457,297.4,308.6,1276,53.6,103,0,0,0,0,0
458,297.3,308.6,1486,42.6,105,0,0,0,0,0
459,297.4,308.6,1476,42.3,107,0,0,0,0,0
460,297.3,308.6,1431,42.0,109,0,0,0,0,0
461,297.4,308.7,1402,40.2,114,0,0,0,0,0
462,297.4,308.7,1433,43.4,116,0,0,0,0,0
463,297.4,308.7,2874,4.2,118,0,0,1,0,0
464,297.3,308.6,1511,35.7,120,0,0,0,0,0
465,297.3,308.6,1456,42.9,122,0,0,0,0,0
466,297.2,308.5,1550,41.5,125,0,0,0,0,0
467,297.2,308.5,2182,16.5,127,0,0,0,0,0
468,297.3,308.7,1619,31.6,129,0,0,0,0,0
469,297.3,308.8,1586,32.7,131,0,0,0,0,0
470,297.3,308.8,1499,44.2,134,0,0,0,0,0
471,297.3,308.8,1419,42.4,139,0,0,0,0,0
472,297.4,309.0,1497,41.8,144,0,0,0,0,0
473,297.4,309.0,1520,37.0,147,0,0,0,0,0
474,297.4,309.1,1478,49.8,150,0,0,0,0,0
475,297.4,309.1,1380,41.1,152,0,0,0,0,0
476,297.4,309.0,1570,37.9,154,0,0,0,0,0
477,297.4,309.0,1468,41.4,156,0,0,0,0,0
